Chave,Tipo de Item,Status,Resumo,Responsável,Story Points
SMD-2158,Debito Tecnico,Pronto para desenvolvimento,Automação CMS,2025-07-21T11:31:00.000-0300,3.0
SMD-2086,História,Aguardando correcao,[CMS - Blog] Datas de criação e de postagem nos atributos,2025-07-30T09:23:00.000-0300,3.0
SMD-2085,História,Concluído,[CMS] [Blog] - Status de Agendado para publicações,2025-07-29T09:29:00.000-0300,3.0
SMD-1924,História,Em QA,[Blog] Classificação de artigos (visual) ,2025-07-29T09:35:00.000-0300,5.0
SMD-2152,Debito Tecnico,Em andamento,[Mettacard] Refatoração do componente de imagens ,2025-07-25T15:46:00.000-0300,8.0
SMD-2185,Impedimento,Em andamento,Erro na API Plataforma,Não atribuído,0.0
SMD-2184,Bug-Task,Pronto para desenvolvimento,[BUG] Data de postagem não definida,2025-07-29T17:35:00.000-0300,0.0
SMD-2180,Task-QA,Em QA,Testes,2025-07-29T11:03:00.000-0300,0.0
SMD-2178,Task-QA,Aguardando correcao,Testes,2025-07-30T09:24:00.000-0300,0.0
SMD-2176,Task-DevSecOps,Concluído,[DevOps] Roteiro,2025-07-25T16:30:00.000-0300,0.0
SMD-2175,Task-DevSecOps,Concluído,[DevOps] Executar em HML,2025-07-25T16:30:00.000-0300,0.0
SMD-2173,Task-QA,Concluído,Testes,2025-07-28T09:09:00.000-0300,0.0
SMD-2172,Impedimento,Em andamento,[BUG] Carregamento das imagens,2025-07-24T10:05:00.000-0300,0.0
SMD-2170,Task-DevSecOps,Concluído,[DevOps] Roteiro,2025-07-22T17:21:00.000-0300,0.0
SMD-2169,Task-DevSecOps,Concluído,[DevOps] Executar em HML,2025-07-22T17:21:00.000-0300,0.0
SMD-2166,Subtarefa,Desenvolvimento Finalizado,Implementar coluna de data de postagem na listagem de publicações,2025-07-22T17:03:00.000-0300,0.0
SMD-2165,Subtarefa,Desenvolvimento Finalizado,Implementar coluna de data de criação na listagem de publicações,2025-07-22T14:58:00.000-0300,0.0
SMD-2164,Task-QA,Aguardando correcao,Testes,2025-07-30T09:23:00.000-0300,0.0
SMD-2163,Task-DevSecOps,Concluído,[DevOps] Roteiro,2025-07-22T09:25:00.000-0300,0.0
SMD-2162,Task-DevSecOps,Concluído,[DevOps] Executar em HML,2025-07-22T09:25:00.000-0300,0.0
SMD-2161,Task-DevSecOps,Concluído,[DevOps] Roteiro,2025-07-21T17:59:00.000-0300,0.0
SMD-2160,Task-DevSecOps,Concluído,[DevOps] Executar em HML,2025-07-21T17:59:00.000-0300,0.0
SMD-2159,Subtarefa,Concluído,"[Front] - Adicionar status ""Agendado""",2025-07-22T09:56:00.000-0300,0.0
SMD-2091,Subtarefa,Desenvolvimento Finalizado,[Front-end] Integração com backend,2025-07-28T09:25:00.000-0300,0.0
SMD-2090,Subtarefa,Desenvolvimento Finalizado,[Front-end] Aplicar ordenação nas colunas,2025-07-25T15:01:00.000-0300,0.0
SMD-2089,Subtarefa,Desenvolvimento Finalizado,[Backend] Criar ordernação de lista de artigos por parâmetro,2025-07-25T14:59:00.000-0300,0.0
SMD-2088,Subtarefa,Desenvolvimento Finalizado,[Backend] Retornar data de criação do artigo,2025-07-25T14:59:00.000-0300,0.0
SMD-1996,Task-Arquitetura,Concluído,Análise de Arquitetura,2025-06-24T12:36:00.000-0300,0.0
